"Billing Tag","Client","Agent","Instance","Backupset","Subclient","Storage Policy","Copy","Front End Backup Size","Front End Backup Cost","Front End Archive Size","Front End Archive Cost","Primary App Size","Primary App Cost","Protected App Size","Protected App Cost","Media Size","Media Cost","Total Cost"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS - ate - 18-04-2020","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_FLASHVIDEOS","#STP_DATACENTER_LOG_01","2.AWS","0","0","12.232","12.232","0","0","0","0","0","0","12.232"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","/mnt/isilon/DADOS_T","STP_TVGRJ_FS_FILE","2.AWS","3.045","3.045","0","0","0","0","0","0","0","0","3.045"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","/mnt/isilon/CGIAP-OBRASv","STP_TVGRJ_FS_FILE","2.AWS","1.296","1.296","0","0","0","0","0","0","0","0","1.296"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","/mnt/isilon/aspera","STP_TVGRJ_FS_FILE","2.AWS","1.874","1.874","0","0","0","0","0","0","0","0","1.874"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","diversos","STP_TVGRJ_FS_FILE","2.AWS","1.33","1.33","0","0","0","0","0","0","0","0","1.33"
"DCCM - OnPremisses","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","fs_jb-aix-ora-p02","#STP_DATACENTER_FS_02","1.Primary","0.016","0.016","0","0","0.14","0.14","0.14","0.14","0.021","1.42","1.716"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","fs_jb-aix-ora-p02","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0","0","0.016","0.016","0.015","4.937","4.953"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","BKP_ISILON","fs_jb-aix-ora-p02_RETENCAO EXTENDIDA","_STP_DATACENTER_CLOUD_VAULT","Primary","0.216","0.216","0","0","0","0","0","0","0","0","0.216"
"DCCM - OnPremisses","cmay22lb11","Linux File System","DefaultInstanceName","defaultBackupSet","MIGRACAO","#STP_DATACENTER_FS_02","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb11","Linux File System","DefaultInstanceName","defaultBackupSet","MIGRACAO","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MONGO","ONDEMAND MONGO","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MONGO","ONDEMAND MONGO","STP_GCOM_FS_DB_02","3-AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MONGO","ONDEMAND MONGO","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MYSQL","ONDEMAND MYSQL","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MYSQL","ONDEMAND MYSQL","STP_GCOM_FS_DB_02","3-AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND MYSQL","ONDEMAND MYSQL","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ARANGODB","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ARANGODB","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_CASSANDRA","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_CASSANDRA","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_DEV - Até 15-09-2020","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MONGO","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MONGO","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_01","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_01","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_02","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_ORACLE_02","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MYSQL_01","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MYSQL_01","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MYSQL_03","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MYSQL_03","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_POSTGRE","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_QA","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_QA","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_VIRTUOSO","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_VIRTUOSO","STP_GCOM_FS_DB_02","1.Primary_New","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND FAAS_03","ONDEMAND FAAS_03","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","ONDEMAND FAAS_03","ONDEMAND FAAS_03","STP_GCOM_FS_DB_02","3-AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb19","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM BACKUP SOB DEMANDA","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS","#STP_DATACENTER_LOG_01","1.Primary","0","0","31.78","31.78","11.398","11.398","11.398","11.398","10.903","753.293","807.869"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","10.849","10.849","10.87","3,502.465","3,513.314"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_GRAYLOG_01","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_GRAYLOG_02","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_GRAYLOG_03","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_GRAYLOG_04","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_IIS","#STP_DATACENTER_LOG_01","1.Primary","0","0","3.885","3.885","1.666","1.666","1.666","1.666","1.594","110.132","117.349"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_IIS","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","1.48","1.48","0.117","37.678","39.158"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_LOGSUNIX_01","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_LOGSUNIX_01","#STP_DATACENTER_LOG_01","1.Primary","0","0","9.955","9.955","3.499","3.499","3.499","3.499","3.347","231.259","248.212"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_LOGSUNIX_01","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","3.188","3.188","3.174","1,022.569","1,025.757"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_CARTOLA","STP_GCOM_FS_DB","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_CASSANDRA","STP_GCOM_FS_DB","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_DEV","STP_GCOM_FS_DB","2.AWS","0.052","0.052","0","0","0","0","0","0","0","0","0.052"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_MONGO","STP_GCOM_FS_DB","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_DB_VIRTUOSO","STP_GCOM_FS_DB","1.newPool","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_BILLING","STP_GCOM_FS_FILE","4.AWS_OLD","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_GIT","STP_GCOM_FS_FILE","4.AWS_OLD","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_JENKINS","STP_GCOM_FS_FILE","4.AWS_OLD","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_JFROG","STP_GCOM_FS_FILE","4.AWS_OLD","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_MONITORACOES","STP_GCOM_FS_FILE","4.AWS_OLD","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_SSVM","STP_GCOM_FS_FILE","3.Primary_OLD","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb05","Linux File System","DefaultInstanceName","GCOM defaultBackupSet","GCOM_FS_SSVM","STP_GCOM_FS_FILE","4.AWS_OLD","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_GRAYLOG_01","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_GRAYLOG_03","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_HLS","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_LOGSUNIX_02","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_LOGSUNIX_02","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_HLS_02","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_HLS_02","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","61.221","61.221","0","0","0","0","0","0","61.221"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_LOGS_HLS_EX","#STP_DATACENTER_LOG_01","1.Primary","0.254","0.254","0","0","0","0","0","0","0","0","0.254"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_LOGS_HLS_EX","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","TESTE_ARCHIVE_01","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND VIDEOS","ONDEMAND VIDEOS","STP_GCOM_FS_MEDIA","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","BACKUP_FS_TEST","STP_GCOM_FS_FILE","4.AWS_OLD","0.202","0.202","0","0","0","0","0","0","0","0","0.202"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","TESTE_LB","STP_NO_DEDUP_CMAY22TL29","1-Primary","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_LOGS_LOGSUNIX_NOT_ARCHIVE","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_LOGS_LOGSUNIX_NOT_ARCHIVE","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS_OLD","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS_OLD","STP_GCOM_FS_LOG_RETENÇÃO_1ANO","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS_OLD","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM ARCHIVE","GCOM_LOGS_CACHOS_OLD","#STP_DATACENTER_LOG_03","2-AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_01","ONDEMAND ORACLE MINING_01","#STP_DATACENTER_DB_01","1.Primary","0","0","0","0","51.256","51.256","51.256","51.256","35.212","2,432.8","2,535.312"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_01","ONDEMAND ORACLE MINING_01","#STP_DATACENTER_DB_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_01","ONDEMAND ORACLE MINING_01","#STP_DATACENTER_DB_02","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_01","ONDEMAND ORACLE MINING_01","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_01","ONDEMAND ORACLE MINING_01","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_01","ONDEMAND ORACLE MINING_01","#STP_DATACENTER_DB_03","1-Primary","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_DB_01","1.Primary","0","0","0","0","0.863","0.863","0.863","0.863","0.593","40.956","42.682"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_DB_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_DB_02","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_LOG_01","1.Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_LOG_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE MINING_02","ONDEMAND ORACLE MINING_02","#STP_DATACENTER_DB_03","1-Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_FS_VIDEOS_LISTA","STP_GCOM_FS_MEDIA","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_FS_VIDEOS_LISTA","STP_GCOM_FS_MEDIA","1.Primary_NEW","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","STP_GCOM_FS_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","STP_GCOM_FS_DB_02","3-AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","#STP_DATACENTER_DB_01","1.Primary","0","0","0","0","63.883","63.883","63.883","63.883","43.887","3,032.124","3,159.89"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","#STP_DATACENTER_DB_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","#STP_DATACENTER_DB_02","1.Primary","0","0","0","0","52.613","52.613","52.613","52.613","14.522","1,003.346","1,108.572"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","ONDEMAND ORACLE","ONDEMAND ORACLE","#STP_DATACENTER_DB_02","3.AWS ONDEMAND","0","0","0","0","0","0","0","0","0","0","0"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_FS_ADM","STP_GCOM_FS_FILE","2.AWS_NEW","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_FS_ADM","#STP_DATACENTER_FS_01","1.Primary","0.061","0.061","0","0","0","0","0","0","0","0.002","0.063"
"AWS - Glacier","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_FS_ADM","#STP_DATACENTER_FS_01","2.AWS","0","0","0","0","0","0","0","0","0","0","0"
"DCCM - OnPremisses","cmay22lb25","Linux File System","DefaultInstanceName","GCOM - FILESERVER","GCOM_FS_ADM","#STP_DATACENTER_FS_02","1.Primary","0","0","0","0","0.245","0.245","0.245","0.245","0.036","2.477","2.967"
